16:47:28.341072 1.0 Mb/s 2412 MHz 11b -46dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:28.392578 1.0 Mb/s 2412 MHz 11b -46dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:28.496272 1.0 Mb/s 2412 MHz 11b -47dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:28.620103 1.0 Mb/s 2412 MHz 11b -43dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:28.739954 1.0 Mb/s 2412 MHz 11b -43dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:28.818612 1.0 Mb/s 2412 MHz 11b -44dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:28.948555 1.0 Mb/s 2412 MHz 11b -44dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:29.024944 1.0 Mb/s 2412 MHz 11b -44dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:29.127218 1.0 Mb/s 2412 MHz 11b -44dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:29.234919 1.0 Mb/s 2412 MHz 11b -43dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:29.335880 1.0 Mb/s 2412 MHz 11b -46dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:29.431043 1.0 Mb/s 2412 MHz 11b -46dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:29.583179 1.0 Mb/s 2412 MHz 11b -49dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:29.656988 1.0 Mb/s 2412 MHz 11b -49dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:29.738603 1.0 Mb/s 2412 MHz 11b -49dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
